PopName,Area,Year,YearReg,Age,AgeInt,Lexis,BirthOrder,OrderInt,PrevBirth,DurInt,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
SWE,1,1775,1775,19,-,RR,TOT,.,.,.,2,1947,O,.,.,.,11,0
SWE,1,1775,1775,20,5,RR,TOT,.,.,.,2,10665,O,.,.,.,11,0
SWE,1,1775,1775,25,5,RR,TOT,.,.,.,2,16927,O,.,.,.,11,0
SWE,1,1775,1775,30,5,RR,TOT,.,.,.,2,17224,O,.,.,.,11,0
SWE,1,1775,1775,35,5,RR,TOT,.,.,.,2,13176,O,.,.,.,11,0
SWE,1,1775,1775,40,5,RR,TOT,.,.,.,2,7167,O,.,.,.,11,0
SWE,1,1775,1775,45,5,RR,TOT,.,.,.,2,1508,O,.,.,.,11,0
SWE,1,1775,1775,50,+,RR,TOT,.,.,.,2,33,O,.,.,.,11,0
SWE,1,1775,1775,UNK,.,.,TOT,.,.,.,2,3913,O,.,.,.,11,0
SWE,1,1775,1775,TOT,.,.,TOT,.,.,.,2,72560,O,.,.,.,11,0
SWE,1,1776,1776,19,-,RR,TOT,.,.,.,2,1815,O,.,.,.,11,0
SWE,1,1776,1776,20,5,RR,TOT,.,.,.,2,10525,O,.,.,.,11,0
SWE,1,1776,1776,25,5,RR,TOT,.,.,.,2,17082,O,.,.,.,11,0
SWE,1,1776,1776,30,5,RR,TOT,.,.,.,2,16735,O,.,.,.,11,0
SWE,1,1776,1776,35,5,RR,TOT,.,.,.,2,12121,O,.,.,.,11,0
SWE,1,1776,1776,40,5,RR,TOT,.,.,.,2,6711,O,.,.,.,11,0
SWE,1,1776,1776,45,5,RR,TOT,.,.,.,2,1517,O,.,.,.,11,0
SWE,1,1776,1776,50,+,RR,TOT,.,.,.,2,38,O,.,.,.,11,0
SWE,1,1776,1776,UNK,.,.,TOT,.,.,.,2,1209,O,.,.,.,11,0
SWE,1,1776,1776,TOT,.,.,TOT,.,.,.,2,67753,O,.,.,.,11,0
SWE,1,1777,1777,19,-,RR,TOT,.,.,.,2,1679,O,.,.,.,11,0
SWE,1,1777,1777,20,5,RR,TOT,.,.,.,2,10576,O,.,.,.,11,0
SWE,1,1777,1777,25,5,RR,TOT,.,.,.,2,17322,O,.,.,.,11,0
SWE,1,1777,1777,30,5,RR,TOT,.,.,.,2,17248,O,.,.,.,11,0
SWE,1,1777,1777,35,5,RR,TOT,.,.,.,2,12189,O,.,.,.,11,0
SWE,1,1777,1777,40,5,RR,TOT,.,.,.,2,6379,O,.,.,.,11,0
SWE,1,1777,1777,45,5,RR,TOT,.,.,.,2,1448,O,.,.,.,11,0
SWE,1,1777,1777,50,+,RR,TOT,.,.,.,2,22,O,.,.,.,11,0
SWE,1,1777,1777,UNK,.,.,TOT,.,.,.,2,1590,O,.,.,.,11,0
SWE,1,1777,1777,TOT,.,.,TOT,.,.,.,2,68453,O,.,.,.,11,0
SWE,1,1778,1778,19,-,RR,TOT,.,.,.,2,1795,O,.,.,.,11,0
SWE,1,1778,1778,20,5,RR,TOT,.,.,.,2,11065,O,.,.,.,11,0
SWE,1,1778,1778,25,5,RR,TOT,.,.,.,2,18843,O,.,.,.,11,0
SWE,1,1778,1778,30,5,RR,TOT,.,.,.,2,18584,O,.,.,.,11,0
SWE,1,1778,1778,35,5,RR,TOT,.,.,.,2,12653,O,.,.,.,11,0
SWE,1,1778,1778,40,5,RR,TOT,.,.,.,2,6543,O,.,.,.,11,0
SWE,1,1778,1778,45,5,RR,TOT,.,.,.,2,1383,O,.,.,.,11,0
SWE,1,1778,1778,50,+,RR,TOT,.,.,.,2,32,O,.,.,.,11,0
SWE,1,1778,1778,UNK,.,.,TOT,.,.,.,2,1754,O,.,.,.,11,0
SWE,1,1778,1778,TOT,.,.,TOT,.,.,.,2,72652,O,.,.,.,11,0
SWE,1,1779,1779,19,-,RR,TOT,.,.,.,2,2334,O,.,.,.,11,0
SWE,1,1779,1779,20,5,RR,TOT,.,.,.,2,12087,O,.,.,.,11,0
SWE,1,1779,1779,25,5,RR,TOT,.,.,.,2,19560,O,.,.,.,11,0
SWE,1,1779,1779,30,5,RR,TOT,.,.,.,2,19742,O,.,.,.,11,0
SWE,1,1779,1779,35,5,RR,TOT,.,.,.,2,13393,O,.,.,.,11,0
SWE,1,1779,1779,40,5,RR,TOT,.,.,.,2,6920,O,.,.,.,11,0
SWE,1,1779,1779,45,5,RR,TOT,.,.,.,2,1740,O,.,.,.,11,0
SWE,1,1779,1779,50,+,RR,TOT,.,.,.,2,36,O,.,.,.,11,0
SWE,1,1779,1779,UNK,.,.,TOT,.,.,.,2,1375,O,.,.,.,11,0
SWE,1,1779,1779,TOT,.,.,TOT,.,.,.,2,77187,O,.,.,.,11,0
SWE,1,1780,1780,19,-,RR,TOT,.,.,.,2,2347,O,.,.,.,11,0
SWE,1,1780,1780,20,5,RR,TOT,.,.,.,2,11793,O,.,.,.,11,0
SWE,1,1780,1780,25,5,RR,TOT,.,.,.,2,20203,O,.,.,.,11,0
SWE,1,1780,1780,30,5,RR,TOT,.,.,.,2,19603,O,.,.,.,11,0
SWE,1,1780,1780,35,5,RR,TOT,.,.,.,2,13376,O,.,.,.,11,0
SWE,1,1780,1780,40,5,RR,TOT,.,.,.,2,6632,O,.,.,.,11,0
SWE,1,1780,1780,45,5,RR,TOT,.,.,.,2,1463,O,.,.,.,11,0
SWE,1,1780,1780,50,+,RR,TOT,.,.,.,2,31,O,.,.,.,11,0
SWE,1,1780,1780,UNK,.,.,TOT,.,.,.,2,527,O,.,.,.,11,0
SWE,1,1780,1780,TOT,.,.,TOT,.,.,.,2,75975,O,.,.,.,11,0
SWE,1,1781,1781,19,-,RR,TOT,.,.,.,2,2105,O,.,.,.,11,0
SWE,1,1781,1781,20,5,RR,TOT,.,.,.,2,11683,O,.,.,.,11,0
SWE,1,1781,1781,25,5,RR,TOT,.,.,.,2,19050,O,.,.,.,11,0
SWE,1,1781,1781,30,5,RR,TOT,.,.,.,2,17730,O,.,.,.,11,0
SWE,1,1781,1781,35,5,RR,TOT,.,.,.,2,12994,O,.,.,.,11,0
SWE,1,1781,1781,40,5,RR,TOT,.,.,.,2,5974,O,.,.,.,11,0
SWE,1,1781,1781,45,5,RR,TOT,.,.,.,2,1441,O,.,.,.,11,0
SWE,1,1781,1781,50,+,RR,TOT,.,.,.,2,23,O,.,.,.,11,0
SWE,1,1781,1781,UNK,.,.,TOT,.,.,.,2,956,O,.,.,.,11,0
SWE,1,1781,1781,TOT,.,.,TOT,.,.,.,2,71956,O,.,.,.,11,0
SWE,1,1782,1782,19,-,RR,TOT,.,.,.,2,2016,O,.,.,.,11,0
SWE,1,1782,1782,20,5,RR,TOT,.,.,.,2,10947,O,.,.,.,11,0
SWE,1,1782,1782,25,5,RR,TOT,.,.,.,2,18490,O,.,.,.,11,0
SWE,1,1782,1782,30,5,RR,TOT,.,.,.,2,17147,O,.,.,.,11,0
SWE,1,1782,1782,35,5,RR,TOT,.,.,.,2,12735,O,.,.,.,11,0
SWE,1,1782,1782,40,5,RR,TOT,.,.,.,2,5807,O,.,.,.,11,0
SWE,1,1782,1782,45,5,RR,TOT,.,.,.,2,1240,O,.,.,.,11,0
SWE,1,1782,1782,50,+,RR,TOT,.,.,.,2,18,O,.,.,.,11,0
SWE,1,1782,1782,UNK,.,.,TOT,.,.,.,2,853,O,.,.,.,11,0
SWE,1,1782,1782,TOT,.,.,TOT,.,.,.,2,69253,O,.,.,.,11,0
SWE,1,1783,1783,19,-,RR,TOT,.,.,.,2,2043,O,.,.,.,11,0
SWE,1,1783,1783,20,5,RR,TOT,.,.,.,2,11685,O,.,.,.,11,0
SWE,1,1783,1783,25,5,RR,TOT,.,.,.,2,18331,O,.,.,.,11,0
SWE,1,1783,1783,30,5,RR,TOT,.,.,.,2,15532,O,.,.,.,11,0
SWE,1,1783,1783,35,5,RR,TOT,.,.,.,2,11204,O,.,.,.,11,0
SWE,1,1783,1783,40,5,RR,TOT,.,.,.,2,5020,O,.,.,.,11,0
SWE,1,1783,1783,45,5,RR,TOT,.,.,.,2,1014,O,.,.,.,11,0
SWE,1,1783,1783,50,+,RR,TOT,.,.,.,2,16,O,.,.,.,11,0
SWE,1,1783,1783,UNK,.,.,TOT,.,.,.,2,791,O,.,.,.,11,0
SWE,1,1783,1783,TOT,.,.,TOT,.,.,.,2,65636,O,.,.,.,11,0
SWE,1,1784,1784,19,-,RR,TOT,.,.,.,2,2017,O,.,.,.,11,0
SWE,1,1784,1784,20,5,RR,TOT,.,.,.,2,10349,O,.,.,.,11,0
SWE,1,1784,1784,25,5,RR,TOT,.,.,.,2,17814,O,.,.,.,11,0
SWE,1,1784,1784,30,5,RR,TOT,.,.,.,2,18246,O,.,.,.,11,0
SWE,1,1784,1784,35,5,RR,TOT,.,.,.,2,12055,O,.,.,.,11,0
SWE,1,1784,1784,40,5,RR,TOT,.,.,.,2,5423,O,.,.,.,11,0
SWE,1,1784,1784,45,5,RR,TOT,.,.,.,2,1096,O,.,.,.,11,0
SWE,1,1784,1784,50,+,RR,TOT,.,.,.,2,24,O,.,.,.,11,0
SWE,1,1784,1784,UNK,.,.,TOT,.,.,.,2,1206,O,.,.,.,11,0
SWE,1,1784,1784,TOT,.,.,TOT,.,.,.,2,68230,O,.,.,.,11,0
SWE,1,1785,1785,19,-,RR,TOT,.,.,.,2,2095,O,.,.,.,11,0
SWE,1,1785,1785,20,5,RR,TOT,.,.,.,2,10312,O,.,.,.,11,0
SWE,1,1785,1785,25,5,RR,TOT,.,.,.,2,16797,O,.,.,.,11,0
SWE,1,1785,1785,30,5,RR,TOT,.,.,.,2,18190,O,.,.,.,11,0
SWE,1,1785,1785,35,5,RR,TOT,.,.,.,2,12076,O,.,.,.,11,0
SWE,1,1785,1785,40,5,RR,TOT,.,.,.,2,5719,O,.,.,.,11,0
SWE,1,1785,1785,45,5,RR,TOT,.,.,.,2,1139,O,.,.,.,11,0
SWE,1,1785,1785,50,+,RR,TOT,.,.,.,2,18,O,.,.,.,11,0
SWE,1,1785,1785,UNK,.,.,TOT,.,.,.,2,1917,O,.,.,.,11,0
SWE,1,1785,1785,TOT,.,.,TOT,.,.,.,2,68263,O,.,.,.,11,0
SWE,1,1786,1786,19,-,RR,TOT,.,.,.,2,2024,O,.,.,.,11,0
SWE,1,1786,1786,20,5,RR,TOT,.,.,.,2,10851,O,.,.,.,11,0
SWE,1,1786,1786,25,5,RR,TOT,.,.,.,2,18171,O,.,.,.,11,0
SWE,1,1786,1786,30,5,RR,TOT,.,.,.,2,18997,O,.,.,.,11,0
SWE,1,1786,1786,35,5,RR,TOT,.,.,.,2,13030,O,.,.,.,11,0
SWE,1,1786,1786,40,5,RR,TOT,.,.,.,2,6132,O,.,.,.,11,0
SWE,1,1786,1786,45,5,RR,TOT,.,.,.,2,1137,O,.,.,.,11,0
SWE,1,1786,1786,50,+,RR,TOT,.,.,.,2,21,O,.,.,.,11,0
SWE,1,1786,1786,UNK,.,.,TOT,.,.,.,2,973,O,.,.,.,11,0
SWE,1,1786,1786,TOT,.,.,TOT,.,.,.,2,71336,O,.,.,.,11,0
SWE,1,1787,1787,19,-,RR,TOT,.,.,.,2,1785,O,.,.,.,11,0
SWE,1,1787,1787,20,5,RR,TOT,.,.,.,2,10657,O,.,.,.,11,0
SWE,1,1787,1787,25,5,RR,TOT,.,.,.,2,17522,O,.,.,.,11,0
