Sweden, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 11/01/2018
Year  ARDY   Cohort       Total
1891    12-   1879+        0.00
1891    13    1878         0.18
1891    14    1877         1.28
1891    15    1876         6.86
1891    16    1875        52.42
1891    17    1874       169.77
1891    18    1873       442.48
1891    19    1872       954.29
1891    20    1871      1888.36
1891    21    1870      2651.48
1891    22    1869      3400.71
1891    23    1868      3793.15
1891    24    1867      4946.49
1891    25    1866      6248.40
1891    26    1865      6760.44
1891    27    1864      7301.69
1891    28    1863      7350.11
1891    29    1862      7337.04
1891    30    1861      7262.47
1891    31    1860      7642.62
1891    32    1859      7471.22
1891    33    1858      7262.02
1891    34    1857      6383.38
1891    35    1856      6034.73
1891    36    1855      5870.36
1891    37    1854      6084.71
1891    38    1853      5205.06
1891    39    1852      4501.56
1891    40    1851      4416.52
1891    41    1850      3908.95
1891    42    1849      3323.45
1891    43    1848      2530.43
1891    44    1847      1765.00
1891    45    1846      1114.28
1891    46    1845       723.78
1891    47    1844       389.81
1891    48    1843       190.30
1891    49    1842        86.44
1891    50    1841        37.71
1891    51    1840         6.06
1891    52    1839         0.00
1891    53    1838         0.00
1891    54    1837         0.00
1891    55+   1836-        0.00
1892    12-   1880+        0.00
1892    13    1879         0.00
1892    14    1878         0.29
1892    15    1877         8.36
1892    16    1876        38.38
1892    17    1875       153.63
1892    18    1874       443.28
1892    19    1873       978.68
1892    20    1872      1737.10
1892    21    1871      2760.22
1892    22    1870      3493.78
1892    23    1869      4130.99
1892    24    1868      4297.92
1892    25    1867      5429.51
1892    26    1866      6362.80
1892    27    1865      6678.04
1892    28    1864      7214.58
1892    29    1863      7176.57
1892    30    1862      7126.50
1892    31    1861      6834.02
1892    32    1860      7232.88
1892    33    1859      7042.34
1892    34    1858      6570.73
1892    35    1857      5979.14
1892    36    1856      5666.47
1892    37    1855      5270.57
1892    38    1854      5265.91
1892    39    1853      4546.13
1892    40    1852      3907.78
1892    41    1851      3515.21
1892    42    1850      3001.37
1892    43    1849      2527.82
1892    44    1848      1765.84
1892    45    1847      1144.90
1892    46    1846       661.23
1892    47    1845       362.13
1892    48    1844       180.81
1892    49    1843        80.54
1892    50    1842        30.54
1892    51    1841         4.73
1892    52    1840         0.24
1892    53    1839         0.00
1892    54    1838         0.00
1892    55+   1837-        0.00
1893    12-   1881+        0.00
1893    13    1880         0.00
1893    14    1879         0.15
1893    15    1878         6.48
1893    16    1877        46.70
1893    17    1876       184.18
1893    18    1875       486.33
1893    19    1874       993.80
1893    20    1873      1849.27
1893    21    1872      2651.76
1893    22    1871      3587.40
1893    23    1870      4229.57
1893    24    1869      4837.74
1893    25    1868      4796.85
1893    26    1867      5807.20
1893    27    1866      6809.08
1893    28    1865      6925.25
1893    29    1864      7319.64
1893    30    1863      7428.70
1893    31    1862      7175.45
1893    32    1861      6834.07
1893    33    1860      7170.42
1893    34    1859      6897.85
1893    35    1858      6602.18
1893    36    1857      5903.27
1893    37    1856      5450.47
1893    38    1855      5056.40
1893    39    1854      5078.77
1893    40    1853      4293.24
1893    41    1852      3452.99
1893    42    1851      3021.03
1893    43    1850      2519.16
1893    44    1849      1867.34
1893    45    1848      1161.20
1893    46    1847       668.99
1893    47    1846       329.52
1893    48    1845       168.07
1893    49    1844        79.50
1893    50    1843        31.45
1893    51    1842         6.09
1893    52    1841         1.12
1893    53    1840         0.29
1893    54    1839         0.00
1893    55+   1838-        0.00
1894    12-   1882+        0.00
1894    13    1881         0.00
1894    14    1880         0.00
1894    15    1879         1.42
1894    16    1878        35.26
1894    17    1877       156.10
1894    18    1876       483.88
1894    19    1875      1083.19
1894    20    1874      1805.70
1894    21    1873      2692.87
1894    22    1872      3558.80
1894    23    1871      4611.51
1894    24    1870      5062.97
1894    25    1869      5377.61
1894    26    1868      5174.95
1894    27    1867      6061.75
1894    28    1866      6855.92
1894    29    1865      7062.00
1894    30    1864      7455.04
1894    31    1863      7210.91
1894    32    1862      6937.53
1894    33    1861      6612.50
1894    34    1860      6841.76
1894    35    1859      6580.77
1894    36    1858      6209.65
1894    37    1857      5512.46
1894    38    1856      5085.29
1894    39    1855      4690.70
1894    40    1854      4713.09
1894    41    1853      3781.32
1894    42    1852      2893.76
1894    43    1851      2412.10
1894    44    1850      1835.43
1894    45    1849      1320.21
1894    46    1848       688.22
1894    47    1847       329.97
1894    48    1846       156.16
1894    49    1845        73.79
1894    50    1844        39.55
1894    51    1843         4.90
1894    52    1842         0.00
1894    53    1841         0.00
1894    54    1840         0.00
1894    55+   1839-        0.00
1895    12-   1883+        0.00
1895    13    1882         0.16
1895    14    1881         3.23
1895    15    1880        13.89
1895    16    1879        57.05
1895    17    1878       194.01
1895    18    1877       552.15
1895    19    1876      1169.47
1895    20    1875      2087.81
1895    21    1874      2912.87
1895    22    1873      3838.28
1895    23    1872      4661.45
1895    24    1871      5479.28
1895    25    1870      5659.18
1895    26    1869      5894.03
1895    27    1868      5585.55
1895    28    1867      6610.25
1895    29    1866      7323.94
1895    30    1865      7259.19
1895    31    1864      7545.19
1895    32    1863      7288.00
1895    33    1862      6869.53
1895    34    1861      6394.44
1895    35    1860      6734.73
1895    36    1859      6540.68
1895    37    1858      6043.86
1895    38    1857      5217.30
1895    39    1856      4676.36
1895    40    1855      4303.48
1895    41    1854      4108.99
1895    42    1853      3101.43
1895    43    1852      2316.98
1895    44    1851      1792.32
1895    45    1850      1178.42
1895    46    1849       676.28
1895    47    1848       322.38
1895    48    1847       121.59
1895    49    1846        40.63
1895    50    1845        21.43
1895    51    1844         3.17
1895    52    1843         0.00
1895    53    1842         0.00
1895    54    1841         0.00
1895    55+   1840-        0.00
1896    12-   1884+        0.00
1896    13    1883         0.00
1896    14    1882         0.15
1896    15    1881         5.63
1896    16    1880        45.97
1896    17    1879       218.56
1896    18    1878       605.41
1896    19    1877      1311.12
1896    20    1876      2135.72
1896    21    1875      3157.92
1896    22    1874      4004.08
1896    23    1873      4801.25
1896    24    1872      5371.37
1896    25    1871      6127.80
1896    26    1870      6124.48
1896    27    1869      6142.47
1896    28    1868      5671.04
1896    29    1867      6513.62
1896    30    1866      7245.73
1896    31    1865      7208.63
1896    32    1864      7237.02
1896    33    1863      6910.82
1896    34    1862      6709.84
1896    35    1861      6179.13
1896    36    1860      6261.39
1896    37    1859      6102.80
1896    38    1858      5707.43
1896    39    1857      4760.96
1896    40    1856      4206.26
1896    41    1855      3709.21
1896    42    1854      3379.42
1896    43    1853      2453.44
1896    44    1852      1650.14
1896    45    1851      1139.78
1896    46    1850       658.69
1896    47    1849       332.75
1896    48    1848       150.12
1896    49    1847        49.25
1896    50    1846        15.90
1896    51    1845         2.74
1896    52    1844         0.00
1896    53    1843         0.00
1896    54    1842         0.00
1896    55+   1841-        0.00
1897    12-   1885+        0.00
1897    13    1884         0.17
1897    14    1883         2.11
1897    15    1882         8.14
1897    16    1881        56.51
1897    17    1880       245.83
1897    18    1879       648.55
1897    19    1878      1252.73
1897    20    1877      2233.05
1897    21    1876      3196.58
1897    22    1875      4199.98
1897    23    1874      4890.26
1897    24    1873      5531.51
1897    25    1872      5890.82
1897    26    1871      6446.28
1897    27    1870      6307.87
1897    28    1869      6222.55
1897    29    1868      5730.02
1897    30    1867      6508.17
1897    31    1866      7098.55
1897    32    1865      6907.81
1897    33    1864      7008.31
1897    34    1863      6668.79
1897    35    1862      6253.24
1897    36    1861      5708.22
1897    37    1860      5894.04
1897    38    1859      5568.86
1897    39    1858      4978.30
1897    40    1857      4228.99
1897    41    1856      3619.66
1897    42    1855      3064.70
1897    43    1854      2676.89
1897    44    1853      1709.01
1897    45    1852      1043.99
1897    46    1851       649.93
1897    47    1850       329.34
1897    48    1849       145.31
1897    49    1848        54.48
1897    50    1847        17.75
1897    51    1846         1.71
1897    52    1845         0.00
1897    53    1844         0.00
1897    54    1843         0.00
1897    55+   1842-        0.00
1898    12-   1886+        0.00
1898    13    1885         0.00
1898    14    1884         1.04
1898    15    1883        20.38
1898    16    1882        65.06
1898    17    1881       240.65
1898    18    1880       695.25
1898    19    1879      1447.38
1898    20    1878      2355.10
1898    21    1877      3486.75
1898    22    1876      4365.88
1898    23    1875      5213.38
1898    24    1874      5714.68
1898    25    1873      6266.15
1898    26    1872      6447.00
1898    27    1871      6867.20
1898    28    1870      6613.52
1898    29    1869      6506.08
1898    30    1868      5863.25
1898    31    1867      6458.16
1898    32    1866      7137.92
1898    33    1865      6994.90
1898    34    1864      6900.13
1898    35    1863      6582.25
1898    36    1862      6178.96
1898    37    1861      5533.16
1898    38    1860      5575.47
1898    39    1859      5158.12
1898    40    1858      4614.65
1898    41    1857      3752.17
1898    42    1856      3009.73
1898    43    1855      2371.02
1898    44    1854      1878.27
1898    45    1853      1071.34
1898    46    1852       577.56
1898    47    1851       330.59
1898    48    1850       143.90
1898    49    1849        55.29
1898    50    1848        19.74
1898    51    1847         8.07
1898    52    1846         2.60
1898    53    1845         0.26
1898    54    1844         0.00
1898    55+   1843-        0.00
1899    12-   1887+        0.00
1899    13    1886         0.00
1899    14    1885         0.57
1899    15    1884        15.08
1899    16    1883        63.92
1899    17    1882       250.64
1899    18    1881       687.30
1899    19    1880      1413.17
1899    20    1879      2446.79
1899    21    1878      3369.27
1899    22    1877      4521.10
1899    23    1876      5217.15
1899    24    1875      5916.19
1899    25    1874      6210.62
1899    26    1873      6615.87
1899    27    1872      6792.16
1899    28    1871      6937.25
1899    29    1870      6526.36
1899    30    1869      6315.46
1899    31    1868      5666.58
1899    32    1867      6206.73
1899    33    1866      6529.23
1899    34    1865      6353.89
1899    35    1864      6361.71
1899    36    1863      6074.04
1899    37    1862      5654.08
1899    38    1861      5012.21
1899    39    1860      4981.02
1899    40    1859      4514.27
1899    41    1858      3884.01
1899    42    1857      3006.60
1899    43    1856      2314.49
1899    44    1855      1698.87
1899    45    1854      1190.46
1899    46    1853       625.50
1899    47    1852       297.92
1899    48    1851       132.68
1899    49    1850        54.71
