"Code" "Year" "Age" "ASFR"
"SWE" 1891 "12-" 0
"SWE" 1891 "13" 2e-05
"SWE" 1891 "14" 2e-05
"SWE" 1891 "15" 0.00046
"SWE" 1891 "16" 0.0021
"SWE" 1891 "17" 0.00636
"SWE" 1891 "18" 0.01569
"SWE" 1891 "19" 0.03376
"SWE" 1891 "20" 0.06091
"SWE" 1891 "21" 0.08227
"SWE" 1891 "22" 0.11084
"SWE" 1891 "23" 0.12743
"SWE" 1891 "24" 0.15622
"SWE" 1891 "25" 0.17413
"SWE" 1891 "26" 0.1907
"SWE" 1891 "27" 0.19905
"SWE" 1891 "28" 0.20294
"SWE" 1891 "29" 0.21352
"SWE" 1891 "30" 0.22118
"SWE" 1891 "31" 0.21125
"SWE" 1891 "32" 0.21168
"SWE" 1891 "33" 0.20607
"SWE" 1891 "34" 0.19842
"SWE" 1891 "35" 0.20165
"SWE" 1891 "36" 0.19269
"SWE" 1891 "37" 0.19036
"SWE" 1891 "38" 0.1721
"SWE" 1891 "39" 0.16378
"SWE" 1891 "40" 0.15116
"SWE" 1891 "41" 0.12601
"SWE" 1891 "42" 0.10427
"SWE" 1891 "43" 0.08398
"SWE" 1891 "44" 0.05692
"SWE" 1891 "45" 0.03562
"SWE" 1891 "46" 0.02066
"SWE" 1891 "47" 0.00962
"SWE" 1891 "48" 0.00554
"SWE" 1891 "49" 0.00182
"SWE" 1891 "50" 0.00097
"SWE" 1891 "51" 0
"SWE" 1891 "52" 0
"SWE" 1891 "53" 0
"SWE" 1891 "54" 0
"SWE" 1891 "55+" 0
"SWE" 1892 "12-" 0
"SWE" 1892 "13" 0
"SWE" 1892 "14" 4e-05
"SWE" 1892 "15" 0.00036
"SWE" 1892 "16" 0.00159
"SWE" 1892 "17" 0.00617
"SWE" 1892 "18" 0.01593
"SWE" 1892 "19" 0.03315
"SWE" 1892 "20" 0.05755
"SWE" 1892 "21" 0.08402
"SWE" 1892 "22" 0.11091
"SWE" 1892 "23" 0.12903
"SWE" 1892 "24" 0.14884
"SWE" 1892 "25" 0.16823
"SWE" 1892 "26" 0.17687
"SWE" 1892 "27" 0.19232
"SWE" 1892 "28" 0.19997
"SWE" 1892 "29" 0.19986
"SWE" 1892 "30" 0.21077
"SWE" 1892 "31" 0.20571
"SWE" 1892 "32" 0.2092
"SWE" 1892 "33" 0.19402
"SWE" 1892 "34" 0.19124
"SWE" 1892 "35" 0.19178
"SWE" 1892 "36" 0.1872
