Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 12/10/2018
Code Year    Age        ASFR
AUT  1951     12-    0.00000
AUT  1951     13     0.00000
AUT  1951     14     0.00037
AUT  1951     15     0.00150
AUT  1951     16     0.00846
AUT  1951     17     0.02615
AUT  1951     18     0.05113
AUT  1951     19     0.07838
AUT  1951     20     0.10010
AUT  1951     21     0.11041
AUT  1951     22     0.11919
AUT  1951     23     0.12044
AUT  1951     24     0.12267
AUT  1951     25     0.12121
AUT  1951     26     0.11673
AUT  1951     27     0.11540
AUT  1951     28     0.10743
AUT  1951     29     0.10672
AUT  1951     30     0.09880
AUT  1951     31     0.08850
AUT  1951     32     0.07601
AUT  1951     33     0.06957
AUT  1951     34     0.06326
AUT  1951     35     0.05725
AUT  1951     36     0.05347
AUT  1951     37     0.04687
AUT  1951     38     0.04035
AUT  1951     39     0.03363
AUT  1951     40     0.02779
AUT  1951     41     0.02074
AUT  1951     42     0.01533
AUT  1951     43     0.01030
AUT  1951     44     0.00595
AUT  1951     45     0.00343
AUT  1951     46     0.00168
AUT  1951     47     0.00088
AUT  1951     48     0.00039
AUT  1951     49     0.00017
AUT  1951     50     0.00017
AUT  1951     51     0.00007
AUT  1951     52     0.00000
AUT  1951     53     0.00000
AUT  1951     54     0.00000
AUT  1951     55+    0.00000
AUT  1952     12-    0.00000
AUT  1952     13     0.00004
AUT  1952     14     0.00038
AUT  1952     15     0.00171
AUT  1952     16     0.00816
AUT  1952     17     0.02519
AUT  1952     18     0.05052
AUT  1952     19     0.08222
AUT  1952     20     0.10226
AUT  1952     21     0.11361
AUT  1952     22     0.12334
AUT  1952     23     0.12349
AUT  1952     24     0.12821
AUT  1952     25     0.12386
AUT  1952     26     0.12439
AUT  1952     27     0.11792
AUT  1952     28     0.11027
AUT  1952     29     0.10458
AUT  1952     30     0.09904
AUT  1952     31     0.08923
AUT  1952     32     0.08245
AUT  1952     33     0.07272
AUT  1952     34     0.06523
AUT  1952     35     0.05612
AUT  1952     36     0.05141
AUT  1952     37     0.04749
AUT  1952     38     0.03974
AUT  1952     39     0.03339
AUT  1952     40     0.02579
AUT  1952     41     0.02156
AUT  1952     42     0.01481
AUT  1952     43     0.00997
AUT  1952     44     0.00562
AUT  1952     45     0.00350
AUT  1952     46     0.00159
AUT  1952     47     0.00065
AUT  1952     48     0.00026
AUT  1952     49     0.00015
AUT  1952     50     0.00010
AUT  1952     51     0.00002
AUT  1952     52     0.00000
AUT  1952     53     0.00000
AUT  1952     54     0.00000
AUT  1952     55+    0.00000
AUT  1953     12-    0.00000
AUT  1953     13     0.00004
AUT  1953     14     0.00033
AUT  1953     15     0.00188
AUT  1953     16     0.00881
AUT  1953     17     0.02523
AUT  1953     18     0.05062
AUT  1953     19     0.08029
AUT  1953     20     0.10696
AUT  1953     21     0.12003
AUT  1953     22     0.12885
AUT  1953     23     0.12787
AUT  1953     24     0.13171
AUT  1953     25     0.13080
AUT  1953     26     0.12304
AUT  1953     27     0.11860
AUT  1953     28     0.11329
