Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 12/10/2018
Code Year    Age        Total
AUT  1951     12-        0.00
AUT  1951     13         0.00
AUT  1951     14        15.00
AUT  1951     15        62.00
AUT  1951     16       354.00
AUT  1951     17      1120.00
AUT  1951     18      2256.00
AUT  1951     19      3558.00
AUT  1951     20      4667.00
AUT  1951     21      5316.00
AUT  1951     22      5702.00
AUT  1951     23      5869.00
AUT  1951     24      6221.00
AUT  1951     25      6546.00
AUT  1951     26      6701.00
AUT  1951     27      6804.00
AUT  1951     28      6480.00
AUT  1951     29      6443.00
AUT  1951     30      5781.00
AUT  1951     31      4871.00
AUT  1951     32      3026.00
AUT  1951     33      2133.00
AUT  1951     34      2106.00
AUT  1951     35      2091.00
AUT  1951     36      2623.00
AUT  1951     37      2650.00
AUT  1951     38      2304.00
AUT  1951     39      1970.00
AUT  1951     40      1608.00
AUT  1951     41      1237.00
AUT  1951     42       906.00
AUT  1951     43       603.00
AUT  1951     44       348.00
AUT  1951     45       201.00
AUT  1951     46        96.00
AUT  1951     47        51.00
AUT  1951     48        22.00
AUT  1951     49         9.61
AUT  1951     50         9.36
AUT  1951     51         3.79
AUT  1951     52         0.24
AUT  1951     53         0.00
AUT  1951     54         0.00
AUT  1951     55+        0.00
AUT  1952     12-        0.00
AUT  1952     13         2.00
AUT  1952     14        16.00
AUT  1952     15        69.00
AUT  1952     16       333.00
AUT  1952     17      1043.00
AUT  1952     18      2133.00
AUT  1952     19      3606.00
AUT  1952     20      4576.00
AUT  1952     21      5301.00
AUT  1952     22      5860.00
AUT  1952     23      5882.00
AUT  1952     24      6151.00
AUT  1952     25      6227.00
AUT  1952     26      6708.00
AUT  1952     27      6724.00
AUT  1952     28      6482.00
AUT  1952     29      6286.00
AUT  1952     30      5962.00
AUT  1952     31      5306.00
AUT  1952     32      4540.00
AUT  1952     33      2758.00
AUT  1952     34      1959.00
AUT  1952     35      1817.00
AUT  1952     36      1840.00
AUT  1952     37      2392.00
AUT  1952     38      2228.00
AUT  1952     39      1919.00
AUT  1952     40      1485.00
AUT  1952     41      1251.00
AUT  1952     42       880.00
AUT  1952     43       585.00
AUT  1952     44       327.00
AUT  1952     45       205.00
AUT  1952     46        92.00
AUT  1952     47        37.00
AUT  1952     48        15.00
AUT  1952     49         8.26
AUT  1952     50         5.64
AUT  1952     51         1.10
AUT  1952     52         0.00
AUT  1952     53         0.00
AUT  1952     54         0.00
AUT  1952     55+        0.00
AUT  1953     12-        0.00
AUT  1953     13         3.00
AUT  1953     14        18.00
AUT  1953     15        78.00
AUT  1953     16       353.00
AUT  1953     17      1021.00
AUT  1953     18      2077.00
AUT  1953     19      3361.00
AUT  1953     20      4655.00
AUT  1953     21      5336.00
AUT  1953     22      5975.00
AUT  1953     23      6041.00
AUT  1953     24      6238.00
AUT  1953     25      6241.00
AUT  1953     26      6153.00
AUT  1953     27      6362.00
AUT  1953     28      6430.00
AUT  1953     29      6435.00
AUT  1953     30      5750.00
AUT  1953     31      5596.00
AUT  1953     32      4799.00
AUT  1953     33      4037.00
AUT  1953     34      2435.00
AUT  1953     35      1783.00
AUT  1953     36      1664.00
AUT  1953     37      1526.00
AUT  1953     38      1938.00
AUT  1953     39      1800.00
AUT  1953     40      1494.00
AUT  1953     41      1123.00
AUT  1953     42       860.00
AUT  1953     43       560.00
AUT  1953     44       340.00
AUT  1953     45       218.00
AUT  1953     46        97.00
AUT  1953     47        43.00
AUT  1953     48        18.00
AUT  1953     49         7.64
AUT  1953     50         1.36
AUT  1953     51         0.00
AUT  1953     52         0.00
AUT  1953     53         0.00
AUT  1953     54         0.00
AUT  1953     55+        0.00
AUT  1954     12-        0.00
AUT  1954     13         1.00
AUT  1954     14        12.00
AUT  1954     15       110.00
AUT  1954     16       368.00
AUT  1954     17      1104.00
AUT  1954     18      2096.00
AUT  1954     19      3260.00
AUT  1954     20      4550.00
AUT  1954     21      5281.00
AUT  1954     22      5880.00
AUT  1954     23      6208.00
AUT  1954     24      6413.00
AUT  1954     25      6368.00
AUT  1954     26      6171.00
AUT  1954     27      6178.00
AUT  1954     28      6118.00
AUT  1954     29      6187.00
AUT  1954     30      5950.00
AUT  1954     31      5442.00
AUT  1954     32      5061.00
AUT  1954     33      4475.00
AUT  1954     34      3565.00
AUT  1954     35      2228.00
AUT  1954     36      1592.00
AUT  1954     37      1517.00
AUT  1954     38      1383.00
AUT  1954     39      1667.00
AUT  1954     40      1552.00
AUT  1954     41      1203.00
AUT  1954     42       819.00
AUT  1954     43       543.00
AUT  1954     44       329.00
AUT  1954     45       186.00
AUT  1954     46        98.00
AUT  1954     47        38.00
AUT  1954     48        23.00
AUT  1954     49         4.07
AUT  1954     50         4.41
AUT  1954     51         0.52
AUT  1954     52         0.00
AUT  1954     53         0.00
AUT  1954     54         0.00
AUT  1954     55+        0.00
AUT  1955     12-        1.00
AUT  1955     13         2.00
AUT  1955     14         2.00
AUT  1955     15       147.00
AUT  1955     16       518.00
AUT  1955     17      1125.00
AUT  1955     18      2271.00
AUT  1955     19      3429.00
AUT  1955     20      4466.00
AUT  1955     21      5299.00
AUT  1955     22      6013.00
AUT  1955     23      6481.00
AUT  1955     24      6606.00
AUT  1955     25      6732.00
AUT  1955     26      6514.00
AUT  1955     27      6296.00
AUT  1955     28      6115.00
AUT  1955     29      6116.00
AUT  1955     30      6098.00
AUT  1955     31      5858.00
AUT  1955     32      5273.00
AUT  1955     33      4898.00
AUT  1955     34      4206.00
AUT  1955     35      3499.00
AUT  1955     36      2092.00
AUT  1955     37      1449.00
AUT  1955     38      1288.00
AUT  1955     39      1237.00
AUT  1955     40      1342.00
AUT  1955     41      1131.00
AUT  1955     42       840.00
AUT  1955     43       546.00
AUT  1955     44       342.00
AUT  1955     45       180.00
AUT  1955     46        93.00
AUT  1955     47        39.00
AUT  1955     48        13.00
AUT  1955     49        10.83
AUT  1955     50         6.09
AUT  1955     51         1.08
AUT  1955     52         0.00
AUT  1955     53         0.00
AUT  1955     54         0.00
AUT  1955     55+        0.00
AUT  1956     12-        0.00
AUT  1956     13         1.00
AUT  1956     14        30.00
AUT  1956     15       142.00
