"age"	"sex"	"1860"	"1861"	"1862"	"1863"	"1864"	"1865"	"1866"	"1867"	"1868"	"1869"	"1870"	"1871"	"1872"	"1873"	"1874"	"1875"	"1876"	"1877"	"1878"	"1879"	"1880"	"1881"	"1882"	"1883"	"1884"	"1885"	"1886"	"1887"	"1888"	"1889"	"1890"	"1891"	"1892"	"1893"	"1894"	"1895"	"1896"	"1897"	"1898"	"1899"	"1900"	"1901"	"1902"	"1903"	"1904"	"1905"	"1906"	"1907"	"1908"	"1909"	"1910"	"1911"	"1912"	"1913"	"1914"	"1915"	"1916"	"1917"	"1918"	"1919"	"1920"	"1921"	"1922"	"1923"	"1924"	"1925"	"1926"	"1927"	"1928"	"1929"	"1930"	"1931"	"1932"	"1933"	"1934"	"1935"	"1936"	"1937"	"1938"	"1939"	"1940"	"1941"	"1942"	"1943"	"1944"	"1945"	"1946"	"1947"	"1948"	"1949"	"1950"	"1951"	"1952"	"1953"	"1954"	"1955"	"1956"	"1957"	"1958"	"1959"	"1960"	"1961"	"1962"	"1963"	"1964"	"1965"	"1966"	"1967"	"1968"	"1969"	"1970"	"1971"	"1972"	"1973"	"1974"	"1975"	"1976"	"1977"	"1978"	"1979"	"1980"	"1981"	"1982"	"1983"	"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"
"0 years"	"women"	58837	58136	60041	59384	60100	59622	60874	56586	49389	51571	52295	57235	56177	58422	58266	59489	59698	61639	59375	62588	59630	59325	59607	59386	62266	61604	63058	63400	62062	59709	59936	61030	58848	59686	60066	61631	61088	60678	62342	60917	62601	63337	63500	61677	61884	62657	62906	63236	63833	64645	61617	61728	61860	60414	60086	57198	56606	56481	54757	53694	63784	59769	54713	52952	51169	49696	47893	45929	45902	43535	43970	42810	42282	39952	39945	39969	42083	42539	44403	46162	45156	47346	54267	59825	63883	63216	63151	61456	60720	57780	54594	52530	52549	52487	50251	51423	51245	51627	50480	49962	49231	50072	51536	53931	59184	59006	59105	58232	54035	51311	52800	54424	54514	52850	53146	50254	47854	46591	45395	46777	47165	45921	45067	44414	45490	47638	49495	51111	54247	56317	60478	59884	59569	57394	54811	50052	46478	43860	43223	43058	43950	44439	46751	48092	49053	49420	51594	52330	53136	54400	56414	54755	55178	55359	56296	55884	58018	56715
"1 year"	"women"	54833	53762	52282	54500	55823	56641	56263	57539	52519	45394	48486	49718	54474	53053	54866	54662	56002	56323	58095	56340	58476	56326	55805	56562	56450	59209	58650	60156	60492	59315	56755	57075	58251	55971	56962	57439	58780	58296	58200	58927	57549	59573	60627	60575	59281	59348	60448	60681	60869	61776	62218	59612	59805	60085	58715	58167	55577	55202	54903	53188	52189	62284	58437	53440	51749	50170	48743	46877	44924	45042	42763	43486	42203	41685	39496	39354	39461	41557	42086	43998	45709	44723	46980	53982	59499	62826	63840	62963	61332	60451	57656	54750	52368	52352	52342	50213	51374	51236	51582	50363	49979	49303	50074	51563	54085	59493	59161	59076	58367	55295	52429	53452	55060	54243	53349	53820	50921	48469	46969	45802	47165	47633	46206	45323	44752	45859	48058	50033	51558	54752	56804	60819	60231	59770	57472	54988	50196	46664	44201	43599	43589	44441	45055	47392	48821	49715	50183	52289	53001	53714	55057	57043	55393	55884	56083	57292	57216	59444
"2 years"	"women"	52048	53007	50988	50221	52641	53920	54842	54684	55219	49860	43300	47306	48570	53058	51413	53222	52957	54121	54404	56420	54055	56423	54253	54057	55022	54771	57665	57021	58540	59139	57274	55172	55161	56828	54862	55929	56398	57711	57325	56823	57590	56426	58381	59357	59575	58351	58525	59626	59880	60178	60762	61411	58892	59174	59471	58098	57587	55002	54532	54286	52626	51789	61810	57992	53004	51388	49854	48404	46528	44668	44779	42685	43315	42037	41558	39263	39205	39283	41456	41989	43861	45581	44656	46880	53980	59306	63371	63051	63032	61288	60430	57721	54733	52221	52298	52330	50252	51497	51270	51531	50417	50055	49328	50139	51763	54370	59680	59212	59040	58949	55826	52520	53322	54993	54435	53617	54184	51269	48547	47075	45832	47171	47609	46255	45387	44887	46067	48286	50248	51905	55090	57016	60875	60443	60075	57484	54976	50204	46785	44356	43801	43868	44731	45352	47715	49157	50166	50657	52823	53495	54111	55477	57511	55839	56582	56834	58348	58123
"3 years"	"women"	46036	50924	51213	51487	48774	51135	52495	53710	53014	52978	47384	42383	46494	47612	51852	50221	51989	51510	52680	53092	54433	52456	54752	52781	52848	53753	53632	56411	55798	57474	57664	56055	54074	54087	55957	54184	55245	55735	57120	56473	55916	56887	55669	57650	58721	58964	57821	58067	59217	59446	59604	60244	60967	58432	58818	59058	57791	57237	54485	54142	53817	52390	51565	61498	57697	52769	51169	49668	48210	46395	44502	44740	42594	42907	41945	41441	39176	39126	39223	41411	41932	43802	45530	44605	46873	54006	59520	62852	63133	62970	61176	60489	57703	54627	52202	52339	52371	50384	51521	51200	51554	50455	50056	49385	50296	52051	54553	59631	59391	59557	59416	55838	52321	53244	55075	54658	53852	54405	51356	48622	47132	45859	47173	47602	46284	45493	45090	46306	48538	50667	52247	55338	57202	61157	61028	60080	57414	54994	50270	46880	44555	44027	44131	44934	45484	47890	49522	50530	51118	53263	53710	54473	55905	58024	56429	57297	57775	59233
"4 years"	"women"	43001	45278	49605	50208	50369	47665	50119	51684	52553	51242	51066	46644	41768	45836	46715	50957	49287	50887	50440	51689	51354	53149	51096	53536	51780	51888	52865	52650	55513	54962	55925	56634	55140	53156	53397	55310	53656	54757	55231	56550	55789	55325	56326	55083	57164	58213	58557	57469	57746	58879	58840	59227	59879	60629	58105	58481	58835	57533	56814	54164	53666	53581	52208	51337	61281	57448	52609	50992	49542	48143	46252	44496	44695	42414	42853	41831	41386	39099	39078	39176	41358	41897	43745	45495	44624	46911	54111	59530	62961	63089	62779	61339	60485	57658	54586	52265	52414	52465	50417	51476	51295	51588	50464	50086	49536	50541	52201	54600	59674	59805	59997	59362	55548	52202	53255	55223	54842	54057	54445	51413	48657	47082	45787	47156	47660	46395	45662	45315	46568	48978	51016	52550	55518	57562	61786	61035	60010	57410	55029	50383	47065	44757	44239	44321	45142	45623	48250	49905	50917	51524	53565	53996	54873	56419	58583	57127	58292	58684
"5 years"	"women"	42032	42498	44332	48747	49372	49487	46941	49557	50815	51200	50082	50436	46143	41285	45211	46050	50249	48419	50044	49659	50415	50334	52042	50147	52715	50993	51152	52076	51960	54862	54116	55101	55809	54302	52648	52921	54853	53247	54354	54708	55624	55304	54859	55831	54723	56726	57835	58229	57221	57477	58400	58511	58910	59577	60351	57823	58282	58600	57142	56503	53721	53477	53436	51980	51164	61058	57294	52441	50839	49452	48152	46234	44482	44608	42359	43110	41790	41328	39055	39056	39362	41331	41846	43731	45504	44840	47108	54290	59625	62963	63251	63024	61353	60414	57657	54629	52328	52542	52500	50404	51486	51379	51624	50509	50218	49772	50723	52205	54705	60116	60160	59967	59153	55384	52234	53400	55440	55013	54127	54506	51416	48620	47038	45780	47188	47732	46510	45878	45559	46977	49309	51246	52717	55855	58236	61829	61010	60033	57483	55150	50619	47291	44976	44446	44514	45300	45947	48602	50307	51321	51764	53828	54410	55491	57024	59253	58092	59279
"6 years"	"women"	44463	41635	41833	43709	48114	48688	48872	46509	48857	49741	50124	49525	49985	45723	40810	44705	45512	49561	47732	49395	48190	49584	49380	51246	49492	52056	50391	50490	51486	51436	53768	53477	54475	55096	53859	52268	52563	54496	52964	53959	54207	55216	54915	54446	55518	54360	56454	57559	58026	56994	57052	58108	58264	58642	59382	60155	57669	58102	58271	56925	56128	53539	53335	53247	51855	50995	60967	57154	52313	50737	49458	48034	46201	44365	44563	42408	43058	41739	41305	39046	39058	39339	41306	41827	43741	45647	44865	47316	54435	59638	63107	63141	63052	61299	60389	57707	54634	52437	52571	52464	50394	51522	51410	51645	50595	50410	49888	50748	52217	55080	60390	60161	59762	58961	55374	52307	53572	55565	55021	54096	54498	51371	48547	47004	45801	47263	47821	46692	46150	45974	47295	49552	51441	53053	56544	58325	61836	61029	60108	57586	55297	50810	47531	45187	44633	44601	45688	46305	48980	50719	51557	52021	54185	55037	56106	57748	60258	58916
"7 years"	"women"	40179	44135	41115	41366	43251	47601	48164	48486	45919	47977	48988	49660	49121	49596	45285	40405	44328	44978	48999	47187	47933	47458	48722	48673	50686	48977	51537	49819	49987	51009	50952	53219	52916	53851	54686	53485	51987	52267	54214	52620	53676	53894	54901	54539	54165	55244	54132	56217	57344	57824	56511	56782	57871	58034	58449	59197	60046	57519	57757	58068	56587	55971	53437	53161	53122	51735	50942	60841	57036	52236	50760	49334	48005	46119	44340	44622	42370	43025	41715	41287	39008	39033	39324	41295	41858	43833	45758	45237	47558	54402	59720	62980	63160	63021	61259	60458	57735	54719	52462	52553	52462	50444	51522	51403	51748	50735	50530	49915	50825	52502	55374	60350	59935	59575	58924	55457	52398	53688	55573	55023	54112	54407	51304	48473	47036	45811	47368	47942	46906	46531	46311	47561	49728	51779	53722	56620	58338	61900	61137	60189	57776	55534	51001	47750	45344	44781	44906	46055	46707	49372	50945	51811	52405	54800	55641	56851	58604	61077
"8 years"	"women"	37243	39935	43714	40758	41038	42867	47188	47848	47962	45182	47256	48593	49332	48774	49184	44934	40115	43949	44508	48529	46304	47315	46738	48139	48201	50271	48537	51042	49357	49586	50216	50495	52711	52390	53509	54357	53191	51769	52008	53869	52295	53380	53575	54559	54258	53856	55018	53931	56047	57164	57553	56280	56590	57648	57868	58290	59063	59865	57229	57603	57720	56402	55864	53305	53033	52979	51660	50838	60702	56931	52272	50623	49287	48029	46092	44290	44577	42308	43020	41709	41262	38996	39004	39311	41321	41903	43977	46136	45467	47589	54498	59674	63028	63111	63010	61292	60482	57815	54769	52451	52487	52518	50479	51561	51511	51887	50832	50545	49935	51136	52749	55311	60128	59816	59554	59011	55580	52535	53707	55602	55011	54123	54332	51291	48538	47099	45865	47520	48190	47284	46841	46523	47763	50075	52371	53829	56654	58422	62014	61253	60351	57963	55739	51206	47861	45507	45115	45254	46412	47097	49578	51183	52131	53099	55404	56272	57759	59410
"9 years"	"women"	38833	37052	39622	43424	40481	40737	42547	46938	47365	47314	44672	46922	48300	49019	48412	48866	44680	39804	43568	44108	47560	45758	46675	46249	47734	47819	49899	48080	50609	48987	48831	49786	50039	52273	52097	53257	54095	52915	51548	51751	53569	52008	53110	53310	54303	53985	53663	54787	53762	55875	56723	57305	56087	56394	57500	57697	58165	58899	59577	57071	57263	57567	56283	55702	53183	52901	52922	51540	50739	60618	56917	52138	50576	49331	47996	46122	44261	44529	42272	43009	41705	41250	38973	38988	39349	41448	42019	44275	46467	45483	47745	54377	59682	62988	63077	63064	61328	60559	57857	54752	52460	52550	52536	50497	51661	51631	52005	50858	50605	50200	51348	52712	55175	60045	59840	59675	59126	55676	52573	53753	55556	54998	54067	54278	51302	48599	47205	45991	47720	48513	47557	47092	46720	48090	50658	52462	53847	56757	58559	62139	61446	60525	58183	55952	51405	48037	45874	45491	45652	46851	47365	49846	51555	52791	53684	56038	57139	58612
