"region of birth"	"age"	"sex"	"2018"	"2019"	"2020"	"2021"	"2022"	"2023"	"2024"	"2025"	"2026"	"2027"	"2028"	"2029"	"2030"	"2031"	"2032"	"2033"	"2034"	"2035"	"2036"	"2037"	"2038"	"2039"	"2040"	"2041"	"2042"	"2043"	"2044"	"2045"	"2046"	"2047"	"2048"	"2049"	"2050"	"2051"	"2052"	"2053"	"2054"	"2055"	"2056"	"2057"	"2058"	"2059"	"2060"	"2061"	"2062"	"2063"	"2064"	"2065"	"2066"	"2067"	"2068"	"2069"	"2070"	"2071"	"2072"	"2073"	"2074"	"2075"	"2076"	"2077"	"2078"	"2079"	"2080"	"2081"	"2082"	"2083"	"2084"	"2085"	"2086"	"2087"	"2088"	"2089"	"2090"	"2091"	"2092"	"2093"	"2094"	"2095"	"2096"	"2097"	"2098"	"2099"	"2100"	"2101"	"2102"	"2103"	"2104"	"2105"	"2106"	"2107"	"2108"	"2109"	"2110"	"2111"	"2112"	"2113"	"2114"	"2115"	"2116"	"2117"	"2118"	"2119"	"2120"
"total"	"0 years"	"women"	56803	57934	59288	60383	61215	61743	62039	62143	62105	61983	61825	61368	60956	60665	60502	60478	60581	60792	61092	61448	61832	62227	62604	63033	63420	63769	64077	64360	64623	64878	65124	65377	65638	65904	66170	66429	66668	66881	67058	67199	67299	67368	67408	67433	67452	67478	67524	67598	67705	67848	68030	68245	68474	68745	69033	69332	69635	69938	70235	70525	70805	71073	71329	71573	71804	72022	72227	72417	72592	72753	72900	73032	73152	73263	73365	73463	73559	73658	73763	73876	74000	74137	74287	74450	74627	74816	75015	75223	75436	75652	75869	76085	76298	76505	76706	76899	77083	77258	77423	77579	77725	77862	77990
"total"	"1 year"	"women"	57246	57292	58410	59743	60767	61582	62085	62355	62439	62386	62255	62088	61622	61204	60910	60740	60712	60809	61013	61307	61660	62041	62429	62804	63229	63616	63963	64271	64552	64815	65069	65316	65569	65829	66094	66362	66618	66857	67072	67249	67388	67490	67558	67597	67621	67645	67672	67717	67793	67899	68042	68225	68440	68667	68938	69226	69524	69827	70129	70426	70715	70994	71262	71517	71761	71992	72209	72413	72602	72777	72938	73083	73216	73335	73445	73547	73645	73741	73840	73944	74057	74181	74317	74467	74631	74807	74996	75195	75402	75614	75830	76047	76263	76475	76681	76881	77073	77257	77431	77595	77750	77896	78032
"total"	"2 years"	"women"	60093	57825	57881	58988	60237	61238	62016	62484	62724	62788	62721	62578	62402	61932	61508	61206	61031	60997	61089	61290	61579	61928	62305	62692	63065	63488	63872	64220	64527	64809	65073	65326	65574	65828	66088	66356	66621	66880	67119	67332	67510	67650	67752	67820	67862	67887	67909	67939	67985	68059	68168	68311	68493	68707	68936	69207	69494	69792	70094	70397	70693	70982	71260	71527	71783	72025	72256	72472	72676	72865	73039	73199	73344	73476	73595	73704	73806	73903	73999	74098	74202	74315	74438	74574	74724	74887	75064	75252	75451	75657	75869	76085	76301	76516	76728	76934	77133	77324	77506	77680	77843	77998	78142
"total"	"3 years"	"women"	58747	60587	58346	58417	59447	60673	61629	62367	62800	63021	63071	62994	62841	62657	62183	61753	61449	61272	61233	61322	61520	61807	62152	62528	62913	63286	63711	64094	64440	64750	65033	65296	65551	65800	66056	66316	66583	66853	67110	67348	67564	67743	67883	67984	68054	68095	68122	68144	68173	68220	68296	68403	68547	68731	68945	69173	69443	69730	70028	70329	70630	70926	71214	71492	71759	72014	72256	72486	72702	72905	73093	73267	73426	73571	73702	73821	73930	74031	74128	74224	74322	74426	74538	74662	74798	74947	75110	75287	75475	75673	75879	76091	76306	76522	76737	76948	77153	77351	77541	77723	77896	78059	78212
"total"	"4 years"	"women"	59861	59243	61077	58867	58879	59886	61067	61981	62681	63096	63299	63339	63254	63094	62904	62424	61994	61686	61507	61467	61553	61750	62034	62379	62754	63140	63513	63938	64321	64669	64977	65260	65527	65782	66032	66289	66552	66819	67088	67347	67586	67802	67980	68121	68223	68290	68331	68357	68381	68410	68457	68533	68643	68789	68971	69185	69413	69683	69969	70266	70568	70868	71164	71451	71729	71995	72249	72491	72720	72936	73138	73326	73500	73658	73803	73933	74052	74160	74261	74358	74453	74551	74655	74767	74891	75026	75176	75339	75515	75702	75900	76106	76318	76533	76748	76963	77174	77377	77575	77764	77945	78117	78280
"total"	"5 years"	"women"	59371	60365	59753	61589	59332	59341	60301	61440	62320	62995	63397	63591	63622	63528	63364	63166	62685	62253	61944	61762	61721	61806	62002	62287	62633	63007	63395	63769	64192	64576	64924	65234	65519	65783	66043	66293	66550	66814	67082	67351	67611	67851	68065	68245	68382	68483	68547	68588	68616	68640	68669	68719	68795	68902	69049	69232	69446	69675	69945	70231	70528	70829	71129	71424	71712	71989	72254	72508	72750	72978	73194	73395	73583	73755	73914	74057	74188	74306	74414	74515	74611	74706	74804	74908	75020	75143	75278	75428	75590	75766	75954	76151	76357	76568	76783	76998	77212	77423	77626	77822	78011	78191	78363
"total"	"6 years"	"women"	59962	59908	60861	60257	62013	59760	59738	60660	61761	62617	63280	63672	63856	63881	63781	63612	63413	62928	62494	62183	62002	61961	62044	62243	62527	62872	63249	63636	64011	64435	64819	65169	65479	65763	66031	66289	66543	66800	67065	67333	67604	67864	68104	68318	68495	68632	68730	68794	68834	68860	68884	68917	68965	69043	69152	69298	69481	69696	69921	70191	70477	70773	71074	71374	71668	71955	72232	72497	72751	72992	73220	73436	73637	73824	73996	74154	74297	74427	74545	74653	74753	74849	74944	75042	75145	75257	75380	75515	75664	75827	76002	76190	76387	76593	76804	77018	77233	77448	77658	77860	78056	78244	78424
"total"	"7 years"	"women"	59597	60489	60422	61342	60668	62395	60120	60074	60960	62037	62880	63536	63920	64099	64115	64012	63839	63635	63151	62717	62406	62222	62182	62267	62465	62750	63098	63476	63864	64239	64665	65050	65399	65712	65997	66264	66525	66778	67037	67304	67573	67843	68103	68344	68557	68733	68868	68965	69026	69067	69093	69119	69151	69202	69279	69390	69536	69718	69933	70160	70429	70715	71011	71312	71611	71905	72192	72468	72733	72986	73226	73454	73669	73869	74056	74228	74385	74528	74658	74775	74882	74982	75078	75173	75271	75374	75486	75608	75744	75892	76055	76230	76417	76614	76819	77030	77244	77459	77672	77882	78084	78279	78466
"total"	"8 years"	"women"	61718	60112	60979	60911	61727	61032	62712	60421	60356	61220	62284	63118	63766	64148	64320	64332	64226	64049	63844	63357	62926	62613	62433	62392	62479	62677	62967	63313	63692	64082	64458	64883	65269	65621	65931	66220	66488	66751	67004	67265	67531	67802	68074	68333	68572	68784	68959	69092	69187	69249	69288	69317	69340	69373	69426	69503	69614	69759	69942	70158	70386	70655	70940	71236	71536	71835	72129	72415	72691	72956	73208	73448	73676	73890	74090	74276	74448	74605	74748	74877	74994	75101	75201	75296	75391	75488	75591	75703	75825	75961	76109	76271	76447	76633	76830	77035	77246	77460	77674	77887	78097	78298	78492
"total"	"9 years"	"women"	60060	62230	60621	61480	61332	62098	61363	63005	60696	60627	61479	62534	63362	64005	64382	64551	64559	64451	64269	64063	63579	63144	62834	62652	62615	62703	62901	63192	63541	63922	64312	64689	65114	65503	65853	66166	66454	66725	66986	67243	67502	67771	68041	68313	68573	68811	69021	69194	69328	69423	69485	69520	69550	69576	69610	69661	69738	69849	69996	70177	70394	70622	70891	71177	71472	71772	72071	72364	72650	72926	73190	73442	73682	73909	74123	74323	74509	74680	74836	74979	75107	75224	75331	75431	75526	75621	75718	75821	75932	76054	76190	76338	76500	76675	76862	77059	77263	77474	77687	77901	78114	78324	78524
